"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1981","Danny Heep","Astros","33","106","0","6","11","0",".031",".282",".250",".321",".281",".278","79","0.0","-2.5","-0.3","0.1","23","24",".602","-2.5","1.0","-1.3","-0.63","-1.86","1005576"
"1963","Chuck Schilling","Red Sox","146","629","8","63","33","3",".085",".256",".234",".291",".319",".278","69","0.0","-22.3","9.4","0.3","25","135",".610","-22.3","6.0","3.4","","","1011560"
"1969","Jim Beauchamp","Reds","43","65","1","8","8","0",".067",".304",".250",".308",".317",".278","64","0.0","-2.7","-0.3","-0.1","29","15",".624","-2.7","0.0","-0.3","","","1000732"
"1972","Felix Millan","Braves","125","534","1","46","38","6",".056",".269",".257",".292",".313",".278","66","-0.1","-19.9","-2.1","-0.5","28","128",".605","-19.8","-5.0","2.9","","","1008867"
"1974","Bob Oliver","- - -","119","402","8","23","59","3",".098",".262",".243",".271",".340",".278","78","-0.1","-9.6","-9.3","-0.6","31","92",".612","-9.5","-7.0","-2.3","-2.91","-10.00","1009774"
"1965","Frank Malzone","Red Sox","106","400","3","40","34","1",".080",".258",".239",".293",".319",".278","68","-0.2","-14.6","3.1","0.0","35","87",".612","-14.4","1.0","2.1","","","1008048"
"1968","Johnny Roseboro","Twins","135","435","8","31","39","2",".095",".231",".216",".300",".311",".278","81","-0.6","-8.9","4.3","0.8","35","82",".611","-8.4","-2.0","6.3","","","1011199"
"1960","Don Blasingame","Giants","136","583","2","72","31","14",".065",".257",".235",".302",".300",".278","72","2.2","-17.2","0.1","0.2","28","123",".602","-19.4","-3.0","3.1","","","1001056"
"1967","Gordy Lund","Indians","3","8","0","1","0","0",".125",".333",".250",".250",".375",".278","82","0.0","-0.2","-0.9","-0.1","26","2",".625","-0.2","-1.0","0.1","","","1007838"
"1967","Sparky Lyle","Red Sox","27","8","0","1","0","0",".125",".500",".250",".250",".375",".278","73","0.0","-0.2","0.6","0.1","22","2",".625","-0.2","0.0","0.6","","","1007859"
"1961","Billy Martin","- - -","114","404","6","45","36","3",".113",".257",".242",".271",".355",".278","62","-0.1","-19.3","-4.8","-1.2","33","92",".626","-19.2","-7.0","2.2","","","1008155"
"1984","Max Venable","Expos","38","76","2","7","7","1",".113",".238",".239",".276",".352",".278","74","0.2","-2.0","0.4","0.1","27","17",".628","-2.2","1.0","-0.6","-0.30","-1.73","1013401"
"1968","Paul Schaal","Angels","60","253","2","22","16","5",".068",".228",".210",".307",".279",".278","87","-1.3","-4.6","9.3","1.2","25","46",".585","-3.3","8.0","1.3","","","1011502"
"1958","Reno Bertoia","Tigers","86","273","6","28","27","5",".100",".243",".233",".290",".333",".278","65","0.4","-10.6","-0.1","-0.2","23","56",".623","-10.9","-1.0","0.9","","","1000917"
"1972","Dave Campbell","Padres","33","113","0","6","3","0",".050",".273",".240",".315",".290",".278","77","-1.4","-4.2","2.8","0.2","30","24",".605","-2.9","2.0","0.8","","","1001876"
"1962","Bill Smith","Phillies","24","13","0","1","1","0",".091",".286",".182",".308",".273",".278","66","0.0","-0.6","1.1","0.1","28","2",".580","-0.6","0.0","1.1","","","1012096"
"1982","Bruce Benedict","Braves","118","438","3","34","44","4",".057",".266",".246",".315",".303",".278","68","-0.8","-16.7","11.8","1.0","26","95",".618","-15.9","5.0","6.8","-1.01","-7.82","1000829"
"1959","Johnny Goryl","Cubs","25","53","1","1","6","1",".167",".182",".188",".264",".354",".278","65","-0.2","-2.5","0.3","0.0","25","9",".618","-2.3","0.0","0.3","","","1004891"
"1969","Rod Gaspar","Mets","118","250","1","26","14","7",".051",".245",".228",".313",".279",".278","71","0.4","-8.0","2.7","0.3","23","49",".592","-8.3","5.0","-2.3","","","1004561"
"1973","Rennie Stennett","Pirates","128","491","10","45","55","2",".116",".259",".242",".265",".358",".278","71","-0.6","-16.9","-2.3","-0.4","22","113",".623","-16.3","-6.0","3.7","","","1012484"
"1986","Pete Rose","Reds","72","272","0","15","25","3",".051",".251",".219",".316",".270",".278","66","0.6","-10.2","-6.6","-0.8","45","52",".586","-10.8","-3.0","-3.6","0.59","-4.08","1011217"
"1979","Freddie Patek","Royals","106","338","1","30","37","11",".065",".286",".252",".293",".317",".278","65","-2.6","-17.2","-4.5","-1.1","34","77",".610","-14.6","-10.0","5.5","-2.30","-6.38","1010052"
"1969","Freddie Patek","Pirates","147","522","5","48","32","15",".057",".284",".239",".318",".296",".278","72","0.2","-16.7","-2.5","-0.1","24","110",".614","-16.9","-11.0","8.5","","","1010052"
