"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1963","Buster Narum","Orioles","7","1","1","1","2","0","3.000",".000","1.000","1.000","4.000","2.181","1305","0.0","1.4","0.1","0.2","22","1","5.000","1.4","0.0","0.1","","","1009455"
"1973","Eduardo Rodriguez","Brewers","30","1","0","1","0","0","2.000","1.000","1.000","1.000","3.000","1.665","1002","0.0","1.0","0.1","0.1","21","1","4.000","1.0","0.0","0.1","","","1011102"
"1980","Scott Munninghoff","Phillies","4","1","0","1","0","0","2.000","1.000","1.000","1.000","3.000","1.649","1012","0.0","1.0","0.1","0.1","21","1","4.000","1.0","0.0","0.1","0.07","0.00","1009324"
"1976","Randy Lerch","Phillies","1","1","0","1","0","0","1.000","1.000","1.000","1.000","2.000","1.340","758","0.0","0.7","0.1","0.1","21","1","3.000","0.7","0.0","0.1","0.00","0.00","1007551"
"1972","Larry Gowell","Yankees","2","1","0","0","0","0","1.000","1.000","1.000","1.000","2.000","1.336","833","0.0","0.7","0.1","0.1","24","1","3.000","0.7","0.0","0.1","","","1004905"
"1971","Mike Caldwell","Padres","6","1","0","0","0","0","1.000","1.000","1.000","1.000","2.000","1.323","771","0.0","0.7","0.1","0.1","22","1","3.000","0.7","0.0","0.1","","","1001830"
"1971","Don Eddy","White Sox","22","1","0","0","0","0","1.000","1.000","1.000","1.000","2.000","1.323","759","0.0","0.7","0.1","0.1","24","1","3.000","0.7","0.0","0.1","","","1003663"
"1975","Davey Johnson","Braves","1","1","0","0","1","0","1.000","1.000","1.000","1.000","2.000","1.322","742","0.0","0.7","0.0","0.1","32","1","3.000","0.7","","0.0","0.06","0.00","1006440"
"1967","Larry Loughlin","Phillies","3","1","0","1","0","0","1.000","1.000","1.000","1.000","2.000","1.319","761","0.0","0.7","0.1","0.1","25","1","3.000","0.7","0.0","0.1","","","1007770"
"1969","Tom Hilgendorf","Cardinals","6","1","0","0","1","0","1.000","1.000","1.000","1.000","2.000","1.316","746","0.0","0.7","0.1","0.1","27","1","3.000","0.7","0.0","0.1","","","1005806"
"1978","Rob Belloir","Braves","2","1","0","0","0","0","1.000","1.000","1.000","1.000","2.000","1.311","759","0.0","0.7","0.0","0.1","29","1","3.000","0.7","0.0","0.0","0.00","0.00","1000819"
"1963","Roy Gleason","Dodgers","8","1","0","3","0","0","1.000","1.000","1.000","1.000","2.000","1.298","786","0.0","0.7","0.0","0.1","20","1","3.000","0.7","","0.0","","","1004771"
"1959","Jim Stump","Tigers","5","1","0","1","0","0","1.000","1.000","1.000","1.000","2.000","1.284","726","0.0","0.8","0.1","0.1","27","1","3.000","0.8","0.0","0.1","","","1012651"
"1958","Chuck Lindstrom","White Sox","1","2","0","1","1","0","2.000","1.000","1.000","1.000","3.000","1.166","670","0.0","1.3","0.0","0.1","21","1","4.000","1.3","0.0","0.0","","","1007629"
"1970","Hal Haydel","Twins","4","3","1","2","1","0","1.333","1.000",".667",".667","2.000","1.140","631","0.0","1.9","0.2","0.2","25","2","2.667","1.9","0.0","0.2","","","1005520"
"1983","Jeff Stone","Phillies","9","4","0","2","3","4","1.000","1.000",".750",".750","1.750","1.047","588","0.8","3.0","-1.0","0.2","22","3","2.500","2.2","-1.0","0.0","0.64","-0.14","1012567"
"1974","John Hale","Dodgers","4","4","0","2","2","0",".250","1.000","1.000","1.000","1.250","1.024","560","0.0","2.1","-1.0","0.1","20","4","2.250","2.1","-1.0","0.0","0.30","0.00","1005223"
"1972","Dave Leonhard","Orioles","16","2","0","1","0","0","1.000","1.000","1.000","1.000","2.000","1.015","603","0.0","1.0","0.1","0.1","31","1","3.000","1.0","0.0","0.1","","","1007540"
"1964","Fritz Ackley","White Sox","3","2","0","0","1","0","1.000","1.000","1.000","1.000","2.000",".991","540","0.0","1.0","0.2","0.1","27","1","3.000","1.0","0.0","0.2","","","1000032"
"1978","Mickey Klutts","Yankees","1","3","0","1","0","0",".500","1.000","1.000","1.000","1.500",".988","551","0.0","1.5","-1.0","0.1","23","2","2.500","1.5","-1.0","0.0","0.21","0.00","1007022"
"1963","Ed Hobaugh","Senators","9","3","1","1","1","0","1.500",".000",".500",".667","2.000",".956","511","0.0","1.4","0.2","0.2","29","1","2.667","1.4","0.0","0.2","","","1005867"
"1976","Mike Dupree","Padres","12","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".926","497","0.0","0.4","0.1","0.1","23","1","2.000","0.4","0.0","0.1","0.00","0.00","1003581"
"1974","Larry Herndon","Cardinals","12","1","0","3","0","0",".000","1.000","1.000","1.000","1.000",".922","488","0.0","0.4","0.0","0.1","20","1","2.000","0.4","0.0","0.0","0.01","0.00","1005717"
"1974","Mike McQueen","Reds","10","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".922","491","0.0","0.4","0.1","0.1","23","1","2.000","0.4","0.0","0.1","0.00","0.00","1008680"
"1974","John Morris","Giants","17","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".922","485","0.0","0.4","0.1","0.1","32","1","2.000","0.4","0.0","0.1","0.01","0.00","1009219"
"1974","Rick Reichardt","Royals","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".922","510","0.0","0.4","0.0","0.1","31","1","2.000","0.4","","0.0","0.08","0.00","1010791"
"1975","Dave Sells","Dodgers","5","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".922","492","0.0","0.5","0.1","0.1","28","1","2.000","0.5","0.0","0.1","0.36","0.00","1011736"
"1975","Pablo Torrealba","Braves","6","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".922","481","0.0","0.4","0.1","0.1","27","1","2.000","0.4","0.0","0.1","0.00","0.00","1013135"
"1981","Larry Bradford","Braves","25","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".917","497","0.0","0.4","0.1","0.1","31","1","2.000","0.4","0.0","0.1","0.01","0.00","1001300"
"1981","Mike Rowland","Giants","9","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".917","504","0.0","0.4","0.1","0.1","28","1","2.000","0.4","0.0","0.1","0.04","0.00","1011261"
"1981","Ray Searage","Mets","26","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".917","503","0.0","0.4","0.1","0.1","26","1","2.000","0.4","0.0","0.1","0.02","0.00","1011703"
"1981","Elias Sosa","Expos","32","2","0","0","1","0",".000","1.000","1.000","1.000","1.000",".917","501","0.0","0.9","0.1","0.1","31","2","2.000","0.9","0.0","0.1","0.03","0.00","1012284"
"1973","Eddie Fisher","Cardinals","6","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".914","489","0.0","0.4","0.1","0.1","36","1","2.000","0.4","0.0","0.1","","","1004085"
"1973","Catfish Hunter","Athletics","37","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".914","503","0.0","0.5","0.1","0.1","27","1","2.000","0.5","0.0","0.1","","","1006199"
"1973","Don McMahon","Giants","22","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".914","486","0.0","0.4","0.1","0.1","43","1","2.000","0.4","0.0","0.1","","","1008629"
"1969","Ron Willis","Cardinals","26","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".913","484","0.0","0.4","0.1","0.1","25","1","2.000","0.4","0.0","0.1","","","1014036"
"1972","Steve Lawson","Rangers","13","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".913","530","0.0","0.4","0.1","0.1","21","1","2.000","0.4","0.0","0.1","","","1007407"
"1972","Ray Newman","Brewers","4","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".913","529","0.0","0.4","0.1","0.1","27","1","2.000","0.4","0.0","0.1","","","1009544"
"1972","Phil Regan","White Sox","10","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".913","526","0.0","0.4","0.1","0.1","35","1","2.000","0.4","0.0","0.1","","","1010785"
"1971","Sparky Lyle","Red Sox","50","4","0","1","0","0",".000","1.000","1.000","1.000","1.000",".912","486","0.0","1.7","0.3","0.2","26","3","2.000","1.7","0.0","0.3","","","1007859"
"1971","Dick Selma","Phillies","18","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".912","491","0.0","0.4","0.1","0.1","27","1","2.000","0.4","0.0","0.1","","","1011737"
"1980","Don McCormack","Phillies","2","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".909","503","0.0","0.5","0.0","0.1","24","1","2.000","0.5","0.0","0.0","0.01","0.00","1008412"
"1970","Mike Jackson","Phillies","5","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".908","458","0.0","0.4","0.1","0.1","24","1","2.000","0.4","0.0","0.1","","","1006306"
"1970","Roe Skidmore","Cubs","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".908","448","0.0","0.4","0.0","0.0","24","1","2.000","0.4","","0.0","","","1012034"
"1984","Dave Von Ohlen","Cardinals","27","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".908","503","0.0","0.5","0.1","0.1","25","1","2.000","0.5","0.0","0.1","0.01","0.00","1013454"
"1979","Juan Bernhardt","Mariners","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".907","472","0.0","0.5","0.0","0.1","25","1","2.000","0.5","","0.0","0.09","0.00","1000892"
"1979","Doug Capilla","Reds","5","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".907","489","0.0","0.5","0.1","0.1","27","1","2.000","0.5","0.0","0.1","0.01","0.00","1001926"
"1979","Tom Dixon","Astros","19","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".907","497","0.0","0.5","0.1","0.1","24","1","2.000","0.5","0.0","0.1","0.01","0.00","1003335"
"1979","Roy Lee Jackson","Mets","8","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".907","492","0.0","0.5","0.1","0.1","25","1","2.000","0.5","0.0","0.1","0.02","0.00","1006311"
"1979","Rick Rhoden","Pirates","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".907","488","0.0","0.5","0.1","0.1","26","1","2.000","0.5","0.0","0.1","0.03","0.00","1010887"
"1983","Sid Fernandez","Dodgers","2","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".906","497","0.0","0.5","0.1","0.1","20","1","2.000","0.5","0.0","0.1","0.02","0.00","1004001"
"1962","Jim Archer","Athletics","18","1","0","0","2","0",".000","1.000","1.000","1.000","1.000",".905","459","0.0","0.4","0.1","0.1","30","1","2.000","0.4","0.0","0.1","","","1000291"
"1962","Rupe Toppin","Athletics","2","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".905","459","0.0","0.4","0.1","0.1","20","1","2.000","0.4","0.0","0.1","","","1013122"
"1960","Ted Abernathy","Senators","2","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".905","461","0.0","0.4","0.1","0.1","27","1","2.000","0.4","0.0","0.1","","","1000020"
"1960","Al Schroll","Cubs","2","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".905","479","0.0","0.4","0.1","0.1","28","1","2.000","0.4","0.0","0.1","","","1011617"
"1982","Randy Niemann","Pirates","20","2","0","1","0","0",".000","1.000","1.000","1.000","1.000",".905","504","0.0","0.9","0.2","0.1","26","2","2.000","0.9","0.0","0.2","0.04","0.00","1009589"
"1982","Steve Shirley","Dodgers","11","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".905","507","0.0","0.5","0.1","0.1","25","1","2.000","0.5","0.0","0.1","0.02","0.00","1011913"
"1961","Joe Grzenda","Tigers","4","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".904","457","0.0","0.5","0.1","0.1","24","1","2.000","0.5","0.0","0.1","","","1005112"
"1961","Steve Hamilton","Indians","2","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".904","463","0.0","0.5","0.1","0.1","25","1","2.000","0.5","0.0","0.1","","","1005277"
"1961","Dick Hyde","Orioles","15","1","0","1","0","1",".000","1.000","1.000","1.000","1.000",".904","466","0.2","0.7","0.1","0.1","32","1","2.000","0.5","0.0","0.1","","","1006248"
"1961","Jim Umbricht","Pirates","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".904","461","0.0","0.5","0.1","0.1","30","1","2.000","0.5","0.0","0.1","","","1013277"
"1977","Mike Marshall","Braves","4","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".902","467","0.0","0.4","0.1","0.1","34","1","2.000","0.4","0.0","0.1","0.04","0.00","1008144"
"1959","Barney Schultz","Tigers","13","2","0","0","0","0",".000","1.000","1.000","1.000","1.000",".902","475","0.0","0.9","0.2","0.1","32","2","2.000","0.9","0.0","0.2","","","1011625"
"1957","Russ Meyer","Red Sox","2","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".902","472","0.0","0.4","0.1","0.1","33","1","2.000","0.4","0.0","0.1","","","1008833"
"1986","Tim Lollar","Red Sox","33","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".902","471","0.0","0.4","0.1","0.1","30","1","2.000","0.4","0.0","0.1","0.06","0.00","1007715"
"1985","Rick Grapenthin","Expos","5","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".901","503","0.0","0.5","0.1","0.1","27","1","2.000","0.5","0.0","0.1","0.00","0.00","1004954"
"1985","Gus Polidor","Angels","2","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".901","477","0.0","0.5","1.0","0.2","23","1","2.000","0.5","1.0","0.0","0.06","0.00","1010420"
"1985","Luis Pujols","Rangers","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".901","474","0.0","0.4","0.0","0.1","29","1","2.000","0.4","0.0","0.0","0.01","0.00","1010564"
"1958","Al Schroll","Red Sox","5","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".901","484","0.0","0.4","0.1","0.1","26","1","2.000","0.4","0.0","0.1","","","1011617"
"1965","Dave Eilers","Mets","11","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".897","481","0.0","0.4","0.1","0.1","28","1","2.000","0.4","0.0","0.1","","","1003715"
"1965","Nate Oliver","Dodgers","8","2","0","3","0","1",".000","1.000","1.000","1.000","1.000",".897","488","0.2","1.1","0.0","0.1","24","1","2.000","0.9","0.0","0.0","","","1009779"
"1965","Ken Rowe","Orioles","6","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".897","488","0.0","0.4","0.1","0.1","31","1","2.000","0.4","0.0","0.1","","","1011256"
"1981","Alan Knicely","Astros","3","7","2","2","2","0",".857",".500",".571",".571","1.429",".896","494","0.0","3.0","0.1","0.4","26","4","2.000","3.0","0.0","0.1","0.28","-0.06","1007035"
"1964","Freddie Burdette","Cubs","18","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".895","485","0.0","0.4","0.1","0.1","27","1","2.000","0.4","0.0","0.1","","","1001661"
"1964","Dave Gray","Red Sox","9","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".895","467","0.0","0.4","0.1","0.1","21","1","2.000","0.4","0.0","0.1","","","1004966"
"1964","Willard Hunter","Mets","41","3","0","0","0","0",".000","1.000","1.000","1.000","1.000",".895","490","0.0","1.3","0.2","0.2","30","1","2.000","1.3","0.0","0.2","","","1006207"
"1964","Paul Popovich","Cubs","1","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".895","485","0.0","0.4","0.0","0.1","23","1","2.000","0.4","","0.0","","","1010440"
"1966","Don Lee","Astros","9","1","0","0","0","0",".000","1.000","1.000","1.000","1.000",".891","473","0.0","0.4","0.1","0.1","32","1","2.000","0.4","0.0","0.1","","","1007453"
"1966","Cecil Upshaw","Braves","1","1","0","0","1","0",".000","1.000","1.000","1.000","1.000",".891","469","0.0","0.4","0.1","0.1","23","1","2.000","0.4","0.0","0.1","","","1013292"
"1966","Dom Zanni","Reds","5","1","0","1","0","0",".000","1.000","1.000","1.000","1.000",".891","463","0.0","0.4","0.1","0.1","34","1","2.000","0.4","0.0","0.1","","","1014417"
"1985","Pat Keedy","Angels","3","4","1","1","1","0","1.000",".333",".500",".500","1.500",".849","443","-0.4","1.2","0.0","0.1","27","2","2.000","1.6","0.0","0.0","0.02","-0.21","1006738"
"1967","Mike Adamson","Orioles","3","2","0","1","1","0","1.000","1.000",".500",".500","1.500",".847","471","0.0","0.8","0.1","0.1","19","1","2.000","0.8","0.0","0.1","","","1000058"
"1967","Hank Aguirre","Tigers","31","2","0","0","3","0","1.000","1.000",".500",".500","1.500",".847","468","0.0","0.8","0.1","0.1","36","1","2.000","0.8","0.0","0.1","","","1000087"
"1981","Mike Gates","Expos","1","2","0","1","1","0","1.000","1.000",".500",".500","1.500",".846","453","0.0","0.8","0.0","0.1","24","1","2.000","0.8","0.0","0.0","0.00","0.00","1004572"
"1969","John Morris","Pilots","6","2","0","0","0","0",".000","1.000","1.000","1.000","1.000",".826","423","0.0","0.7","0.2","0.1","27","1","2.000","0.7","0.0","0.2","","","1009219"
"1982","John Rabb","Giants","2","2","0","0","0","0","1.000","1.000",".500",".500","1.500",".821","448","0.0","0.8","-1.0","0.0","22","1","2.000","0.8","-1.0","0.0","-0.04","-0.04","1010625"
"1975","Jim Essian","Phillies","2","2","0","1","1","0",".000","1.000","1.000","1.000","1.000",".819","418","0.0","0.7","1.0","0.2","24","1","2.000","0.7","1.0","0.0","0.00","0.00","1003835"
"1963","John Paciorek","Colt .45's","1","5","0","4","3","0",".000","1.000","1.000","1.000","1.000",".812","450","0.0","1.9","-0.1","0.2","18","3","2.000","1.9","0.0","-0.1","","","1009937"
"1970","Bo Belinsky","Reds","3","2","0","0","0","0",".000","1.000","1.000","1.000","1.000",".808","399","0.0","0.7","0.2","0.1","33","1","2.000","0.7","0.0","0.2","","","1000791"
"1968","Bill Connors","Mets","9","3","0","0","0","0",".000","1.000","1.000","1.000","1.000",".794","441","0.0","1.0","0.2","0.2","26","1","2.000","1.0","0.0","0.2","","","1002522"
"1963","Billy Hoeft","Giants","23","3","0","0","1","0",".000","1.000","1.000","1.000","1.000",".792","431","0.0","1.1","0.2","0.2","31","1","2.000","1.1","0.0","0.2","","","1005893"
"1982","Buddy Biancalana","Royals","3","3","0","0","0","0","1.000",".500",".500",".667","1.500",".782","398","0.0","1.1","1.1","0.2","22","1","2.167","1.1","1.0","0.1","-0.07","-0.10","1000942"
"1980","Donnie Moore","Cardinals","11","6","0","1","2","0",".250",".750",".750",".750","1.000",".779","414","0.0","2.1","0.5","0.3","26","3","1.750","2.1","0.0","0.5","0.02","-0.07","1009102"
"1968","Bill Virdon","Pirates","6","3","1","1","2","0","1.000",".000",".333",".333","1.333",".779","432","0.0","1.0","0.0","0.1","37","1","1.667","1.0","0.0","0.0","","","1013437"
"1967","Ed Herrmann","White Sox","2","4","0","1","1","0",".333",".667",".667",".750","1.000",".740","400","0.0","1.3","1.1","0.3","20","2","1.750","1.3","1.0","0.1","","","1005732"
"1982","Jay Baller","Phillies","4","1","0","0","0","0",".000",".000",".000","1.000",".000",".737","387","0.0","0.3","0.1","0.0","21","0","1.000","0.3","0.0","0.1","0.03","0.00","1000492"
"1958","Glenn Cox","Athletics","2","1","0","0","0","0",".000",".000",".000","1.000",".000",".735","374","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","","","1002701"
"1973","Barry Foote","Expos","6","6","0","0","1","0",".333",".667",".667",".667","1.000",".734","367","0.0","1.8","0.0","0.2","21","4","1.667","1.8","","0.0","","","1004210"
"1963","Alan Koch","Tigers","8","3","0","1","1","0",".333",".667",".667",".667","1.000",".731","365","0.0","0.9","0.2","0.1","25","2","1.667","0.9","0.0","0.2","","","1007068"
"1958","Curt Barclay","Giants","6","6","0","2","0","0",".333","1.000",".667",".667","1.000",".728","349","0.0","1.9","0.4","0.3","26","4","1.667","1.9","0.0","0.4","","","1000534"
"1961","Dave Wickersham","Athletics","17","3","0","1","3","0",".333",".667",".667",".667","1.000",".727","345","0.0","0.9","0.2","0.1","25","2","1.667","0.9","0.0","0.2","","","1013917"
"1964","Johnny Podres","Dodgers","2","1","0","0","0","0",".000",".000",".000","1.000",".000",".723","381","0.0","0.3","0.1","0.0","31","0","1.000","0.3","0.0","0.1","","","1010406"
"1967","John Miller","Orioles","2","1","0","0","0","0",".000",".000",".000","1.000",".000",".722","386","0.0","0.3","0.1","0.0","26","0","1.000","0.3","0.0","0.1","","","1008907"
"1975","Ken Crosby","Cubs","9","1","0","1","0","0",".000",".000",".000","1.000",".000",".716","346","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","0.00","0.00","1002801"
"1962","Ray Rippelmeyer","Senators","18","6","1","2","1","0",".667",".500",".500",".500","1.167",".714","342","0.0","1.8","0.5","0.3","28","3","1.667","1.8","0.0","0.5","","","1010981"
"1980","Brad Gulden","Yankees","2","3","1","1","2","0","1.000",".000",".333",".333","1.333",".712","355","0.0","0.9","0.0","0.1","24","1","1.667","0.9","0.0","0.0","0.01","-0.03","1005133"
"1979","Dwight Bernard","Mets","32","3","0","0","0","0",".000",".000",".000","1.000",".000",".711","361","0.0","0.9","0.3","0.1","27","0","1.000","0.9","0.0","0.3","-0.03","-0.04","1000887"
"1979","Terry Forster","Dodgers","17","1","0","0","0","0",".000",".000",".000","1.000",".000",".711","361","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","0.00","0.00","1004236"
"1979","Bob Kearney","Giants","2","1","0","0","0","0",".000",".000",".000","1.000",".000",".711","361","0.0","0.3","0.0","0.0","22","0","1.000","0.3","0.0","0.0","0.01","0.00","1006728"
"1973","Ken Holtzman","Athletics","41","1","0","0","0","0",".000",".000",".000","1.000",".000",".710","366","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","","","1005989"
"1962","Wynn Hawkins","Indians","3","1","0","1","1","0",".000",".000",".000","1.000",".000",".709","340","0.0","0.3","0.1","0.0","26","0","1.000","0.3","0.0","0.1","","","1005515"
"1962","Dick LeMay","Giants","9","1","0","0","0","0",".000",".000",".000","1.000",".000",".709","342","0.0","0.3","0.1","0.0","23","0","1.000","0.3","0.0","0.1","","","1007514"
"1974","Nyls Nyman","White Sox","5","15","0","5","4","1",".286",".692",".643",".667",".929",".708","364","0.2","4.5","-0.1","0.5","20","9","1.595","4.3","0.0","-0.1","0.63","-0.24","1009671"
"1980","Mark Lee","Pirates","4","1","0","0","0","0",".000",".000",".000","1.000",".000",".708","363","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","0.08","0.00","1007459"
"1980","Dave Tomlin","Reds","27","1","0","0","0","0",".000",".000",".000","1.000",".000",".708","366","0.0","0.3","0.1","0.0","31","0","1.000","0.3","0.0","0.1","0.01","0.00","1013110"
"1970","Roger Nelson","Royals","4","1","0","0","0","0",".000",".000",".000","1.000",".000",".708","350","0.0","0.3","0.1","0.0","26","0","1.000","0.3","0.0","0.1","","","1009511"
"1970","Jerry Nyman","Padres","3","1","0","0","0","0",".000",".000",".000","1.000",".000",".708","337","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","","","1009670"
"1978","Dan Spillner","Padres","17","2","0","0","0","0",".000",".000",".000","1.000",".000",".707","367","0.0","0.6","0.2","0.1","26","0","1.000","0.6","0.0","0.2","0.01","-0.02","1012342"
"1957","Curt Flood","Redlegs","3","3","1","2","1","0","1.000",".000",".333",".333","1.333",".706","336","0.0","0.9","0.0","0.1","19","1","1.667","0.9","0.0","0.0","","","1004165"
"1983","Tommy Boggs","Braves","5","1","0","0","0","0",".000",".000",".000","1.000",".000",".706","353","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","0.04","0.00","1001123"
"1981","Mike Marshall","Mets","20","1","0","0","0","0",".000",".000",".000","1.000",".000",".706","361","0.0","0.3","0.1","0.0","38","0","1.000","0.3","0.0","0.1","0.00","0.00","1008144"
"1959","Vito Valentinetti","Senators","7","1","0","0","0","0",".000",".000",".000","1.000",".000",".705","347","0.0","0.3","0.1","0.0","30","0","1.000","0.3","0.0","0.1","","","1013330"
"1959","Dom Zanni","Giants","9","1","0","0","0","0",".000",".000",".000","1.000",".000",".705","334","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","","","1014417"
"1959","George Zuverink","Orioles","6","2","0","0","0","0",".000",".000",".000","1.000",".000",".705","353","0.0","0.6","0.2","0.1","34","0","1.000","0.6","0.0","0.2","","","1014466"
"1969","Fred Wenz","Red Sox","8","1","0","1","0","0",".000",".000",".000","1.000",".000",".705","339","0.0","0.3","0.1","0.0","27","0","1.000","0.3","0.0","0.1","","","1013781"
"1958","Joe Presko","Tigers","7","1","0","0","0","0",".000",".000",".000","1.000",".000",".703","353","0.0","0.3","0.1","0.0","29","0","1.000","0.3","0.0","0.1","","","1010522"
"1985","Ted Power","Reds","64","1","0","0","0","0",".000",".000",".000","1.000",".000",".703","361","0.0","0.3","0.1","0.0","30","0","1.000","0.3","0.0","0.1","0.01","0.00","1010504"
"1985","Dan Spillner","White Sox","53","1","0","0","0","0",".000",".000",".000","1.000",".000",".703","343","0.0","0.3","0.1","0.0","33","0","1.000","0.3","0.0","0.1","0.00","0.00","1012342"
"1957","Sandy Consuegra","Giants","4","1","0","1","0","0",".000",".000",".000","1.000",".000",".703","339","0.0","0.3","0.1","0.0","36","0","1.000","0.3","0.0","0.1","","","1002547"
"1986","Jeff Bittiger","Phillies","3","4","1","1","1","0","1.000",".000",".333",".333","1.333",".698","353","0.0","1.2","0.4","0.2","24","1","1.667","1.2","0.0","0.4","0.08","-0.05","1001000"
"1972","Bob Gebhard","Twins","13","1","0","0","0","0",".000",".000",".000","1.000",".000",".694","372","0.0","0.3","0.1","0.0","29","0","1.000","0.3","0.0","0.1","","","1004587"
"1961","Hal Bevan","Reds","3","3","1","1","1","0","1.000",".000",".333",".333","1.333",".691","324","0.0","0.9","0.0","0.1","30","1","1.667","0.9","","0.0","","","1000936"
"1964","Sam Jones","Orioles","7","1","0","0","0","0",".000",".000",".000","1.000",".000",".690","343","0.0","0.3","0.1","0.0","38","0","1.000","0.3","0.0","0.1","","","1006590"
"1981","Bob Dernier","Phillies","10","4","0","0","0","2",".000",".750",".750",".750",".750",".688","346","0.0","1.1","0.0","0.1","24","3","1.500","1.1","0.0","0.0","0.09","-0.06","1003220"
"1963","Jim Constable","Giants","4","1","0","0","0","0",".000",".000",".000","1.000",".000",".688","360","0.0","0.3","0.1","0.0","30","0","1.000","0.3","0.0","0.1","","","1002546"
"1967","John Tsitouris","Reds","2","2","0","0","0","0",".000",".000",".000","1.000",".000",".687","339","0.0","0.5","0.1","0.1","31","0","1.000","0.5","0.0","0.1","","","1013208"
"1966","Tom Cheney","Senators","3","1","0","1","0","0",".000",".000",".000","1.000",".000",".686","359","0.0","0.3","0.1","0.0","31","0","1.000","0.3","0.0","0.1","","","1002177"
"1966","Bill Connors","Cubs","11","1","0","0","0","0",".000",".000",".000","1.000",".000",".686","333","0.0","0.3","0.1","0.0","24","0","1.000","0.3","0.0","0.1","","","1002522"
"1968","Bob Heffner","Angels","7","1","0","0","0","0",".000",".000",".000","1.000",".000",".681","367","0.0","0.3","0.1","0.0","29","0","1.000","0.3","0.0","0.1","","","1005578"
"1968","Frank Reberger","Cubs","3","1","0","0","0","0",".000",".000",".000","1.000",".000",".681","356","0.0","0.3","0.1","0.0","24","0","1.000","0.3","0.0","0.1","","","1010745"
"1968","Les Rohr","Mets","2","1","0","0","0","0",".000",".000",".000","1.000",".000",".681","363","0.0","0.3","0.1","0.0","22","0","1.000","0.3","0.0","0.1","","","1011148"
"1981","Dave Hostetler","Expos","5","6","1","1","1","0",".500",".667",".500",".500","1.000",".676","338","0.0","1.6","-0.1","0.2","25","3","1.500","1.6","0.0","-0.1","-0.04","-0.12","1006044"
