"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1973","Eddie Fisher","Cardinals","6","1","0","1","0","1.000","1.000","1.000",".914","489","0.0","0.1","36","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1004085"
"1973","Catfish Hunter","Athletics","37","1","0","0","0","1.000","1.000","1.000",".914","503","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.5","0.0","","","","1","1006199"
"1973","Don McMahon","Giants","22","1","0","1","0","1.000","1.000","1.000",".914","486","0.0","0.1","43","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1008629"
"1969","Ron Willis","Cardinals","26","1","0","1","0","1.000","1.000","1.000",".913","484","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1014036"
"1972","Steve Lawson","Rangers","13","1","0","0","0","1.000","1.000","1.000",".913","530","0.0","0.1","21","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1007407"
"1972","Ray Newman","Brewers","4","1","0","1","0","1.000","1.000","1.000",".913","529","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1009544"
"1972","Phil Regan","White Sox","10","1","0","0","0","1.000","1.000","1.000",".913","526","0.0","0.1","35","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1010785"
"1971","Sparky Lyle","Red Sox","50","4","0","0","0","1.000","1.000","1.000",".912","486","0.0","0.2","26","3","0","0","0","0","0","1","2.000","1.7","0.0","","","","3","1007859"
"1971","Dick Selma","Phillies","18","1","0","0","0","1.000","1.000","1.000",".912","491","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1011737"
"1980","Don McCormack","Phillies","2","1","0","0","0","1.000","1.000","1.000",".909","503","0.0","0.1","24","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.01","0.00","1","1008412"
"1970","Mike Jackson","Phillies","5","1","0","0","0","1.000","1.000","1.000",".908","458","0.0","0.1","24","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1006306"
"1970","Roe Skidmore","Cubs","1","1","0","0","0","1.000","1.000","1.000",".908","448","0.0","0.0","24","1","0","0","0","0","0","0","2.000","0.4","","","","","1","1012034"
"1984","Dave Von Ohlen","Cardinals","27","1","0","0","0","1.000","1.000","1.000",".908","503","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.01","0.00","1","1013454"
