"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1983","Mike Hargrove","Indians","134","566","3","57","0",".286",".388",".367",".345","113","-2.5","1.7","33","134","3","78","5","5","7","7",".755","8.4","-1.0","-8.52","10.48","0.88","469","1005361"
"1976","Dwight Evans","Red Sox","146","571","17","62","6",".242",".324",".431",".345","112","-1.5","3.1","24","121","17","57","4","6","4","3",".755","7.3","13.0","-9.17","11.20","1.45","501","1003865"
"1960","Gene Freese","White Sox","127","501","17","79","10",".273",".312",".481",".345","111","-0.2","3.0","26","124","17","29","2","1","8","8",".794","7.0","5.0","","","","455","1004328"
"1958","Johnny Roseboro","Dodgers","114","431","14","43","11",".271",".333",".456",".345","102","-0.7","1.7","25","104","14","36","2","2","5","4",".788","1.1","-4.0","","","","384","1011199"
"1982","Frank White","Royals","145","554","11","56","10",".298",".318",".469",".345","113","-0.8","3.5","31","156","11","16","1","2","5","7",".788","8.4","4.0","-9.48","9.48","0.20","524","1013872"
"1978","Tim Hosley","Athletics","13","25","0","3","0",".304",".360",".391",".345","119","0.0","0.2","31","7","0","1","0","1","0","0",".751","0.5","0.0","-0.40","0.79","0.24","23","1006042"
"1964","Phil Regan","Tigers","33","50","0","1","0",".317",".391",".366",".345","113","0.0","0.7","27","13","0","5","0","0","0","4",".757","0.8","0.0","","","","41","1010785"
"1965","Jose Tartabull","Athletics","68","242","1","19","11",".312",".361",".413",".345","119","0.4","1.7","26","68","1","18","0","0","2","4",".774","5.1","5.0","","","","218","1012830"
"1981","Jerry Grote","- - -","24","64","1","9","1",".293",".333",".431",".345","119","0.2","0.4","38","17","1","3","0","1","1","1",".764","1.3","-1.0","-1.29","1.11","-0.27","58","1005092"
"1963","Bob Chance","Indians","16","54","2","7","0",".288",".302",".481",".345","118","-0.4","-0.1","22","15","2","1","0","0","0","1",".783","1.1","-3.0","","","","52","1002129"
"1973","Dave Kingman","Giants","112","351","24","55","8",".203",".300",".479",".345","111","-0.2","2.0","24","62","24","41","3","2","2","1",".779","4.3","5.0","","","","305","1006939"
"1970","Cleon Jones","Mets","134","574","10","63","12",".277",".352",".417",".345","109","1.4","2.9","27","140","10","57","2","5","6","0",".769","6.3","7.0","","","","506","1006540"
"1969","Willie Smith","Cubs","103","223","9","25","1",".246",".330",".441",".345","106","0.3","0.3","30","48","9","25","3","0","1","2",".771","1.6","-5.0","","","","195","1012216"
"1980","Julio Valdez","Red Sox","8","21","1","4","2",".263",".300",".474",".345","106","0.4","0.4","24","5","1","0","0","1","0","1",".774","0.2","2.0","-0.35","0.43","-0.02","19","1013312"
"1985","Tony Gwynn","Padres","154","671","6","46","14",".317",".364",".408",".345","121","-1.8","4.2","25","197","6","45","4","2","1","1",".773","15.8","12.0","-11.44","13.98","0.35","622","1005166"
"1976","Ted Simmons","Cardinals","150","625","5","75","0",".291",".371",".394",".345","114","-2.8","3.8","26","159","5","73","19","0","6","0",".765","9.7","3.0","-11.75","12.08","-0.95","546","1011986"
"1964","Pat Corrales","Phillies","2","2","0","0","0",".000",".500",".000",".345","122","0.0","0.0","23","0","0","1","0","0","0","0",".500","0.0","","","","","1","1002636"
"1964","Roger Repoz","Yankees","11","2","0","0","0",".000",".500",".000",".345","119","0.0","0.0","23","0","0","1","0","0","0","0",".500","0.0","0.0","","","","1","1010841"
"1979","Wayne Nordhagen","White Sox","78","207","7","25","0",".280",".324",".466",".345","109","0.1","0.3","30","54","7","13","2","0","1","0",".790","2.3","-1.0","-4.22","3.39","-0.90","193","1009626"
"1985","Fred Lynn","Orioles","124","508","23","68","7",".263",".339",".449",".345","115","0.0","1.8","33","118","23","53","6","1","6","0",".787","8.8","-9.0","-8.63","9.20","0.18","448","1007872"
"1976","Tony Solaita","- - -","94","329","9","42","1",".261",".348",".403",".345","124","-0.3","1.9","29","74","9","40","3","0","5","1",".750","8.3","5.0","-5.53","7.25","0.06","283","1012265"
"1985","Andre Robertson","Yankees","50","136","2","17","1",".328",".358",".416",".345","115","-0.6","0.4","27","41","2","6","0","1","2","2",".774","2.5","-3.0","-1.91","2.69","0.55","125","1011021"
"1957","Frank Thomas","Pirates","151","658","23","89","3",".290",".335",".460",".345","111","0.6","2.1","28","172","23","44","9","3","12","5",".795","8.5","-2.0","","","","594","1012976"
"1970","Phil Hennigan","Indians","42","12","0","1","0",".143",".400",".286",".345","109","0.0","0.2","24","1","0","2","0","1","0","2",".686","0.1","0.0","","","","7","1005658"
"1961","Jim McAnany","Cubs","11","11","0","0","0",".300",".364",".400",".345","105","0.0","0.0","24","3","0","1","0","0","0","0",".764","0.1","0.0","","","","10","1008326"
"1962","Elston Howard","Yankees","136","538","21","91","1",".279",".318",".474",".345","112","-0.1","4.1","33","138","21","31","1","1","9","3",".791","8.0","9.0","","","","494","1006079"
"1978","Richie Zisk","Rangers","140","581","22","85","3",".262",".338",".432",".345","115","-0.5","1.5","29","134","22","58","7","3","5","4",".770","9.9","-5.0","-10.39","13.46","2.43","511","1014455"
"1980","Wally Backman","Mets","27","110","0","9","2",".323",".396",".355",".345","119","-0.8","0.0","20","30","0","11","1","1","1","4",".751","2.3","-6.0","-1.85","2.20","0.11","93","1000400"
"1972","Chris Coletta","Angels","14","31","1","7","0",".300",".323",".433",".345","133","0.0","0.1","27","9","1","1","0","0","0","0",".756","1.0","-1.0","","","","30","1002438"
"1971","Joe Morgan","Astros","160","689","13","56","40",".256",".351",".407",".345","119","5.2","5.4","27","149","13","88","2","1","7","10",".757","14.3","3.0","","","","583","1009179"
"1975","Mike Vail","Mets","38","171","3","17","0",".302",".339",".420",".345","115","0.0","1.4","23","49","3","9","1","0","0","0",".759","2.9","7.0","-2.89","3.31","-0.12","162","1013309"
"1979","Ron LeFlore","Tigers","148","654","9","57","78",".300",".355",".415",".345","106","10.2","2.7","31","180","9","52","2","0","2","0",".770","5.0","-6.0","-12.46","14.56","0.13","600","1007478"
"1978","Dave Concepcion","Reds","153","624","6","67","23",".301",".357",".405",".345","115","0.9","3.8","30","170","6","51","4","1","4","3",".763","10.5","-6.0","-11.27","11.23","-0.62","565","1002494"
"1983","Joe Nolan","Orioles","73","202","5","24","0",".277",".342",".429",".345","115","0.0","0.9","32","51","5","16","1","2","0","0",".771","3.6","-5.0","-3.74","4.15","-0.07","184","1009617"
"1963","Joe Torre","Braves","142","556","14","71","1",".293",".350",".431",".345","126","-1.5","4.4","22","147","14","42","4","5","7","1",".781","15.8","3.0","","","","501","1013133"
"1981","Chico Walker","Red Sox","6","18","0","2","0",".353",".389",".353",".345","115","-0.7","0.0","23","6","0","1","0","0","0","0",".742","0.3","0.0","-0.26","0.15","-0.12","17","1013509"
"1959","Jim Baxes","- - -","88","308","17","39","1",".246",".310",".471",".345","113","-0.1","1.5","30","69","17","25","0","1","0","2",".782","4.9","-1.0","","","","280","1000695"
"1981","Tom Brunansky","Angels","11","41","3","6","1",".152",".317",".424",".345","122","0.2","0.3","20","5","3","8","0","0","0","0",".741","1.0","1.0","-0.55","0.74","-0.02","33","1001589"
"1975","Claudell Washington","Athletics","148","635","10","77","40",".308",".345",".424",".345","120","2.3","3.8","20","182","10","32","9","5","7","1",".769","13.9","5.0","-10.46","12.12","-0.42","590","1013654"
"1983","Jeffrey Leonard","Giants","139","558","21","87","26",".279",".323",".461",".345","117","2.3","3.1","27","144","21","35","2","1","6","0",".784","11.2","4.0","-10.69","12.49","-0.34","516","1007535"
"1985","Robin Yount","Brewers","122","527","15","68","10",".277",".342",".442",".345","114","0.2","1.6","29","129","15","49","3","2","9","1",".784","8.8","-7.0","-8.90","9.51","-0.48","466","1014396"
"1983","Dwight Evans","Red Sox","126","544","22","58","3",".238",".338",".436",".345","108","0.5","1.3","31","112","22","70","5","2","2","0",".774","5.0","-4.0","-9.45","9.41","-0.80","470","1003865"
"1970","Tim McCarver","Phillies","44","180","4","14","2",".287",".346",".439",".345","107","-0.3","0.8","28","47","4","14","4","1","0","1",".785","1.6","-3.0","","","","164","1008378"
"1965","Dick Estelle","Giants","6","2","0","0","0",".000",".500",".000",".345","119","0.0","0.0","23","0","0","1","0","0","0","0",".500","0.0","0.0","","","","1","1003838"
"1965","Bobby Locke","Reds","11","2","0","0","0",".000",".500",".000",".345","114","0.0","0.0","31","0","0","1","0","0","0","0",".500","0.0","0.0","","","","1","1007687"
"1967","Vada Pinson","Reds","158","684","18","66","26",".288",".318",".454",".345","115","2.7","3.7","28","187","18","26","1","3","1","4",".771","11.4","-5.0","","","","650","1010360"
"1960","Don Demeter","Dodgers","64","181","9","29","0",".274",".306",".488",".345","108","-0.3","1.0","25","46","9","8","1","1","3","1",".794","1.7","2.0","","","","168","1003193"
"1983","Nick Esasky","Reds","85","335","12","46","6",".265",".328",".450",".345","112","0.4","1.2","23","80","12","27","1","3","3","0",".779","4.7","-5.0","-6.51","6.64","-0.60","302","1003818"
"1964","Norm Siebern","Orioles","150","596","12","56","2",".245",".379",".379",".345","119","-0.5","3.0","30","117","12","106","3","2","7","3",".758","13.2","8.0","","","","478","1011949"
"1984","Carney Lansford","Athletics","151","651","14","74","9",".300",".342",".439",".345","118","0.6","3.7","27","179","14","40","6","3","9","2",".781","13.8","-1.0","-11.39","13.35","0.84","597","1007331"
"1977","Bruce Boisclair","Mets","127","347","4","44","6",".293",".359",".407",".345","114","-0.1","0.5","24","90","4","31","0","1","1","7",".766","5.9","-9.0","-6.52","7.50","0.31","307","1001131"
"1960","Mike Krsnich","Braves","4","9","0","2","0",".333",".333",".444",".345","120","0.0","0.1","28","3","0","0","0","0","0","0",".778","0.2","1.0","","","","9","1007173"
"1964","Wayne Causey","Athletics","157","705","8","49","0",".281",".377",".386",".345","113","-0.1","3.8","27","170","8","88","3","7","4","2",".763","10.8","-4.0","","","","604","1002091"
"1971","Cookie Rojas","Royals","115","463","6","59","8",".300",".357",".406",".345","116","0.6","3.1","32","124","6","39","3","2","7","1",".763","8.1","3.0","","","","414","1011152"
"1982","Kevin Bell","Athletics","4","9","0","0","0",".333",".333",".444",".345","117","0.0","0.0","26","3","0","0","0","0","0","0",".778","0.2","0.0","-0.05","0.17","0.20","9","1000814"
"1982","Eddie Vargas","Pirates","8","9","0","3","0",".375",".333",".500",".345","117","0.0","0.0","23","3","0","0","0","0","1","0",".833","0.2","0.0","-0.15","0.11","-0.20","8","1013367"
"1971","Darrell Evans","Braves","89","305","12","38","2",".242",".338",".431",".345","110","-0.6","1.2","24","63","12","39","4","1","5","0",".768","3.3","-4.0","","","","260","1003864"
"1982","Dave Bergman","Giants","100","140","4","14","3",".273",".364",".413",".345","120","0.6","0.6","29","33","4","18","3","0","1","0",".778","3.1","-1.0","-2.55","2.94","0.11","121","1000879"
"1982","Glenn Wilson","Tigers","84","342","12","34","2",".292",".322",".457",".345","113","-0.8","2.4","23","94","12","15","0","0","2","3",".778","5.1","9.0","-5.80","5.14","-0.73","322","1014081"
"1986","Rick Schu","Phillies","92","233","8","25","2",".274",".335",".447",".345","113","-0.4","0.3","24","57","8","18","1","2","2","3",".782","3.5","-8.0","-4.53","2.75","-2.43","208","1011650"
"1974","Sergio Ferrer","Twins","24","68","0","0","3",".281",".379",".351",".345","115","-0.1","-0.4","23","16","0","8","0","1","0","2",".730","1.1","-8.0","-0.95","0.98","0.02","57","1004008"
"1986","Bobby Grich","Angels","98","366","9","30","1",".268",".354",".412",".345","113","-1.0","2.1","37","84","9","39","1","3","1","10",".766","5.6","2.0","-6.32","5.92","-0.74","313","1005033"
"1981","Leon Roberts","Rangers","72","266","4","31","3",".279",".345",".421",".345","122","-0.9","1.0","30","65","4","25","2","1","5","2",".765","6.2","-2.0","-4.01","4.15","-0.45","233","1011040"
"1977","John Stearns","Mets","139","521","12","55","9",".251",".370",".397",".345","114","-1.0","3.7","25","108","12","77","7","7","4","1",".767","8.8","5.0","-10.30","10.42","-1.27","431","1012446"
"1958","Wally Post","Phillies","110","420","12","62","0",".282",".340",".449",".345","106","-0.5","0.8","28","107","12","32","5","3","4","2",".788","3.0","-4.0","","","","379","1010468"
"1969","Al Oliver","Pirates","129","502","17","70","8",".285",".333",".445",".345","115","-0.1","2.4","22","132","17","21","11","13","2","3",".778","8.8","4.0","","","","463","1009773"
"1986","Darnell Coles","Tigers","142","587","20","86","6",".273",".333",".453",".345","114","0.4","2.6","24","142","20","45","3","6","8","7",".786","9.8","-5.0","-9.92","10.05","-0.49","521","1002436"
"1970","Bobby Murcer","Yankees","159","680","23","78","15",".251",".348",".420",".345","117","-0.7","3.7","24","146","23","87","5","2","6","4",".768","13.5","4.0","","","","581","1009338"
"1963","Eddie Bressoud","Red Sox","140","559","20","60","1",".260",".329",".451",".345","112","0.0","3.3","31","129","20","52","2","2","5","3",".780","8.0","-2.0","","","","497","1001397"
"1959","Roy Sievers","Senators","115","444","21","49","1",".242",".333",".455",".345","111","-0.1","1.3","32","93","21","53","6","2","4","0",".788","5.7","0.0","","","","385","1011959"
"1980","Roy Smalley","Twins","133","564","12","63","3",".278",".359",".405",".345","108","-0.7","3.7","27","135","12","65","4","2","9","2",".765","5.3","6.0","-10.47","11.14","0.10","486","1012078"
"1978","Ken Griffey","Reds","158","680","10","63","23",".288",".344",".417",".345","115","2.8","2.6","28","177","10","54","1","0","3","9",".761","11.2","-5.0","-11.53","12.65","0.25","614","1005044"
"1985","Claudell Washington","Braves","122","441","15","43","14",".276",".342",".455",".345","112","1.1","0.6","30","110","15","40","11","1","2","0",".797","6.1","-12.0","-8.18","7.90","-0.99","398","1013654"
"1986","Willie Randolph","Yankees","141","601","5","50","15",".276",".393",".346",".345","114","2.1","3.9","31","136","5","94","0","3","4","8",".738","10.0","2.0","-9.19","10.08","-0.01","492","1010694"
"1976","Toby Harrah","Rangers","155","688","15","67","8",".260",".360",".377",".345","121","-0.5","4.0","27","152","15","91","5","3","5","5",".737","15.0","-9.0","-11.78","13.69","0.12","584","1005384"
"1965","Dick McAuliffe","Tigers","113","456","15","54","6",".260",".342",".433",".345","119","-2.1","2.4","25","105","15","49","4","2","1","0",".775","9.8","-7.0","","","","404","1008331"
"1975","Tom Grieve","Rangers","118","396","14","61","0",".276",".316",".442",".344","114","-0.7","0.8","27","102","14","22","0","0","1","4",".758","6.0","-3.0","-7.51","9.82","1.38","369","1005035"
"1961","Don Taussig","Cardinals","98","210","2","25","2",".287",".338",".447",".344","100","-0.4","1.2","29","54","2","16","0","0","3","3",".785","0.1","7.0","","","","188","1012848"
"1968","Ed Charles","Mets","117","409","15","53","5",".276",".328",".434",".344","130","-0.3","3.6","35","102","15","28","4","2","4","6",".761","12.1","3.0","","","","369","1002158"
"1969","John Boozer","Phillies","46","12","0","1","0",".333",".400",".333",".344","114","0.0","0.2","30","3","0","1","0","0","0","2",".733","0.2","0.0","","","","9","1001194"
"1959","Ed Bailey","Redlegs","121","447","12","40","2",".264",".370",".393",".344","104","0.6","3.8","28","100","12","62","6","2","0","4",".763","2.1","12.0","","","","379","1000421"
"1984","Victor Mata","Yankees","30","76","1","6","1",".329",".333",".443",".344","116","-0.2","0.2","23","23","1","0","0","1","1","4",".776","1.4","-2.0","-1.33","0.83","-0.44","70","1008232"
"1980","Bobby Murcer","Yankees","100","345","13","57","2",".269",".339",".438",".344","114","0.3","0.4","34","80","13","34","2","2","9","3",".777","5.6","-8.0","-6.21","7.83","0.72","297","1009338"
"1979","Glenn Adams","Twins","119","362","8","50","2",".301",".350",".420",".344","106","-0.3","0.1","31","98","8","25","0","3","6","1",".770","2.5","-6.0","-6.60","7.88","0.56","326","1000052"
"1977","Willie Montanez","Braves","136","582","20","68","1",".287",".328",".458",".344","101","0.2","0.0","29","156","20","35","3","0","3","0",".786","0.9","-12.0","-10.40","12.22","1.44","544","1009062"
"1979","Dave Collins","Reds","122","429","3","35","16",".318",".364",".402",".344","112","-0.3","1.6","26","126","3","27","2","2","1","3",".765","6.2","-1.0","-7.67","8.29","0.06","396","1002449"
"1977","Larry Biittner","Cubs","138","532","12","62","2",".298",".345",".432",".344","100","0.4","0.8","31","147","12","35","2","1","2","1",".777","0.1","-3.0","-9.78","10.32","0.33","493","1000962"
"1980","Bill Robinson","Pirates","100","294","12","36","1",".287",".320",".463",".344","113","-1.4","0.5","37","78","12","15","2","0","4","3",".783","4.1","-3.0","-6.09","5.77","-0.80","272","1011054"
"1958","Charlie Neal","Dodgers","140","549","22","65","7",".254",".341",".438",".344","101","-0.6","1.6","27","120","22","61","4","5","6","4",".779","1.0","-7.0","","","","473","1009473"
"1957","Hank Foiles","Pirates","109","322","9","36","1",".270",".352",".431",".344","110","-0.7","1.8","28","76","9","37","5","0","3","1",".783","3.9","-1.0","","","","281","1004194"
"1984","Kelvin Chapman","Mets","75","223","3","23","8",".289",".356",".401",".344","120","-1.2","1.0","28","57","3","19","0","2","1","4",".757","5.0","-3.0","-4.48","4.50","0.11","197","1002150"
"1983","Lance Parrish","Tigers","155","663","27","114","1",".269",".314",".483",".344","113","-1.1","4.9","27","163","27","44","7","1","13","0",".796","10.4","12.0","-12.90","13.41","-0.33","605","1010021"
"1960","Earl Battey","Senators","137","530","15","60","4",".270",".346",".427",".344","106","-1.0","3.6","25","126","15","48","5","8","4","4",".773","4.1","8.0","","","","466","1000670"
"1985","Gorman Thomas","Mariners","135","574","32","87","3",".215",".330",".450",".344","111","-0.4","1.2","34","104","32","84","6","1","3","2",".781","7.6","","-10.43","9.66","-1.90","484","1012979"
"1984","Pat Tabler","Indians","144","528","10","68","3",".290",".354",".410",".344","112","0.2","1.8","26","137","10","47","2","3","5","0",".764","7.3","-3.0","-9.71","9.27","-0.25","473","1012806"
"1974","Rico Petrocelli","Red Sox","129","509","15","76","1",".267",".336",".421",".344","111","0.3","2.6","31","121","15","48","4","2","5","0",".757","5.9","0.0","-9.40","9.81","-0.75","454","1010245"
"1968","Jim Ray Hart","Giants","136","535","23","78","3",".258",".323",".444",".344","131","0.3","3.1","26","124","23","46","10","3","6","0",".767","16.4","-8.0","","","","480","1005448"
"1962","Harry Bright","Senators","113","425","17","67","2",".273",".319",".462",".344","107","0.0","1.1","32","107","17","26","0","2","3","2",".781","3.8","0.0","","","","392","1001430"
"1974","Bill Buckner","Dodgers","145","620","7","58","31",".314",".351",".412",".344","117","1.4","3.4","24","182","7","30","10","4","2","4",".763","11.8","6.0","-10.34","10.66","-0.55","580","1001625"
"1982","Bill Buckner","Cubs","161","709","15","105","15",".306",".342",".441",".344","113","1.0","3.1","32","201","15","36","7","5","10","1",".783","10.2","5.0","-12.20","14.11","-1.00","657","1001625"
"1971","Tony Perez","Reds","158","664","25","91","4",".269",".325",".438",".344","120","0.5","4.9","29","164","25","51","5","1","3","0",".764","14.3","6.0","","","","609","1010188"
"1973","Lee May","Astros","148","590","28","105","1",".270",".310",".479",".344","115","0.0","1.4","30","147","28","34","10","2","9","0",".789","10.2","-7.0","","","","545","1008303"
"1972","Bill Buckner","Dodgers","105","405","5","37","10",".319",".348",".410",".344","121","1.0","2.5","22","122","5","17","2","1","1","3",".758","9.3","3.0","","","","383","1001625"
"1981","Tony Armas","Athletics","109","462","22","76","5",".261",".294",".480",".344","124","0.6","3.9","27","115","22","19","6","2","1","0",".774","11.8","15.0","-8.20","11.14","1.66","440","1000305"
"1965","Alex Johnson","Phillies","97","280","8","28","4",".294",".337",".443",".344","119","-0.7","0.8","22","77","8","15","3","2","0","1",".780","5.9","-4.0","","","","262","1006418"
"1968","Ernie Banks","Cubs","150","595","32","83","2",".246",".287",".469",".344","123","0.4","3.0","37","136","32","27","4","5","2","9",".756","13.3","0.0","","","","552","1000512"
"1985","Tony Bernazard","Indians","153","579","11","59","17",".274",".361",".404",".344","110","-0.4","1.4","28","137","11","69","2","1","4","5",".765","7.2","-17.0","-10.40","11.32","-0.25","500","1000889"
"1973","Ken McMullen","Dodgers","42","91","5","18","0",".247",".297",".482",".344","117","0.0","1.0","31","21","5","6","1","0","0","0",".779","1.8","5.0","","","","85","1008650"
"1984","Joe Carter","Indians","66","257","13","41","2",".275",".307",".467",".344","112","-1.2","0.9","24","67","13","11","0","1","1","0",".775","3.5","0.0","-4.27","6.19","1.45","244","1002018"
"1972","Willie Crawford","Dodgers","96","283","8","27","4",".251",".349",".403",".344","121","0.2","1.6","25","61","8","35","3","2","1","2",".752","6.5","1.0","","","","243","1002750"
"1971","Willie Davis","Dodgers","158","672","10","74","20",".309",".330",".438",".344","121","1.2","4.6","31","198","10","23","3","0","5","3",".769","15.2","6.0","","","","641","1003088"
"1975","Greg Gross","Astros","132","558","0","41","2",".294",".373",".364",".344","116","-0.3","1.9","22","142","0","63","1","0","3","9",".738","10.5","-5.0","-9.06","10.77","0.09","483","1005086"
"1982","Bo Diaz","Phillies","144","572","18","85","3",".288",".333",".450",".344","116","-1.8","3.9","29","151","18","36","5","3","7","1",".782","10.1","1.0","-10.88","12.93","0.54","525","1003261"
"1978","Willie Randolph","Yankees","134","596","3","42","36",".279",".381",".357",".344","117","4.6","5.2","23","139","3","82","1","4","5","6",".738","11.5","11.0","-8.50","9.43","-0.62","499","1010694"
"1981","Rod Carew","Angels","93","421","2","21","16",".305",".380",".374",".344","121","0.3","2.7","35","111","2","45","7","0","2","10",".753","9.5","8.0","-6.25","7.48","0.16","364","1001942"
"1981","Joe Morgan","Giants","90","378","8","31","14",".240",".371",".377",".344","119","1.0","2.3","37","74","8","66","7","0","3","1",".748","7.8","-3.0","-6.26","6.89","-0.44","308","1009179"
"1982","Tim Wallach","Expos","158","645","28","97","6",".268",".313",".471",".344","119","-0.4","4.0","24","160","28","36","4","4","4","5",".784","13.8","2.0","-11.83","12.56","-0.48","596","1013554"
"1957","Bob Chakales","- - -","22","11","0","2","0",".300",".300",".500",".344","124","0.0","0.2","29","3","0","0","0","0","0","1",".800","0.3","0.0","","","","10","1002113"
"1962","Bubba Morton","Tigers","90","228","4","17","1",".262",".366",".385",".344","107","-0.2","1.0","30","51","4","32","0","0","0","1",".750","1.9","3.0","","","","195","1009229"
"1979","Jose Cardenal","- - -","40","100","2","13","2",".247",".360",".400",".344","111","0.4","0.4","35","21","2","14","1","1","0","0",".760","1.3","0.0","-1.68","2.17","0.01","85","1001937"
"1972","Ed Kirkpatrick","Royals","113","423","9","43","3",".275",".365",".396",".344","126","-1.1","3.0","27","100","9","51","9","3","4","1",".761","11.1","-2.0","","","","364","1006969"
"1976","Ken Pape","Rangers","21","30","1","4","0",".217",".357",".391",".344","120","-0.4","0.2","24","5","1","3","1","2","0","2",".748","0.6","1.0","-0.50","0.66","0.11","23","1009983"
"1985","Dave Engle","Twins","70","195","7","25","2",".256",".333",".448",".344","109","-0.5","0.5","28","44","7","21","1","0","2","0",".781","2.0","0.0","-3.55","3.37","-0.47","172","1003781"
"1976","Ken Henderson","Braves","133","505","13","61","5",".262",".352",".395",".344","106","-1.7","0.4","30","114","13","62","7","1","5","2",".747","3.6","-10.0","-9.02","10.06","0.37","435","1005634"
"1986","Jim Traber","Orioles","65","240","13","44","0",".255",".321",".472",".344","113","0.0","0.9","24","54","13","18","2","5","5","0",".793","3.6","1.0","-4.41","5.40","0.21","212","1013150"
"1976","Johnny Bench","Reds","135","552","16","74","13",".234",".348",".394",".344","112","1.7","4.8","28","109","16","81","6","2","4","0",".741","7.6","10.0","-10.33","9.68","-0.78","465","1000826"
"1974","Jim Fregosi","Rangers","78","253","12","34","0",".261",".324",".439",".344","118","-0.3","0.9","32","60","12","22","4","0","1","0",".763","4.9","-3.0","-3.91","4.99","0.74","230","1004330"
"1968","Tony Perez","Reds","160","690","18","92","3",".282",".338",".430",".344","123","0.0","5.2","26","176","18","51","13","6","7","1",".769","15.6","1.0","","","","625","1010188"
"1978","Darrell Evans","Giants","159","668","20","78","4",".243",".360",".404",".344","117","-1.0","4.2","31","133","20","105","12","0","10","6",".764","12.7","2.0","-11.15","12.86","-1.73","547","1003864"
"1963","Sam Jones","Cardinals","11","2","0","0","0",".000",".500",".000",".344","116","0.0","0.0","37","0","0","1","0","0","0","0",".500","0.0","0.0","","","","1","1006590"
"1963","Herman Starrette","Orioles","18","3","0","0","0",".000",".500",".000",".344","120","0.0","0.0","24","0","0","1","0","0","0","1",".500","0.1","0.0","","","","1","1012434"
"1961","Elio Chacon","Reds","61","158","2","5","1",".265",".374",".371",".344","104","-1.4","0.9","24","35","2","21","0","2","0","3",".745","0.9","3.0","","","","132","1002109"
"1980","Denny Walling","Astros","100","321","3","29","4",".299",".374",".387",".344","122","-0.4","0.8","26","85","3","35","4","0","2","0",".761","8.0","-6.0","-5.41","6.19","0.23","284","1013559"
"1958","Del Crandall","Braves","131","485","18","63","4",".272",".348",".457",".344","113","0.7","4.4","28","116","18","48","18","4","4","2",".805","7.6","12.0","","","","427","1002729"
"1962","Tim Harkness","Dodgers","92","73","2","7","1",".258",".370",".387",".344","114","0.2","0.2","24","16","2","10","1","1","0","0",".757","1.3","-1.0","","","","62","1005366"
"1968","Rick Reichardt","Angels","151","601","21","73","8",".255",".328",".421",".344","133","-0.7","3.8","25","136","21","42","2","18","4","3",".749","19.4","6.0","","","","534","1010791"
"1980","Keith Moreland","Phillies","62","171","4","29","3",".314",".341",".440",".344","114","0.2","0.7","26","50","4","8","2","0","3","1",".781","2.8","-4.0","-3.50","4.60","0.50","159","1009161"
"1986","Ray Knight","Mets","137","541","11","76","2",".298",".351",".424",".344","120","0.0","2.7","33","145","11","40","2","4","8","3",".775","12.3","-5.0","-7.53","11.76","2.50","486","1007043"
"1982","Lou Whitaker","Tigers","152","619","15","65","11",".286",".341",".434",".344","112","1.0","4.8","25","160","15","48","4","1","4","6",".775","8.8","13.0","-9.73","12.02","0.81","560","1013846"
"1974","Charlie Sands","Angels","43","108","4","13","0",".193",".370",".361",".344","123","0.0","0.3","26","16","4","23","2","1","1","0",".732","2.7","-1.0","-1.71","2.67","0.41","83","1011427"
"1986","Chili Davis","Giants","153","618","13","70","16",".278",".375",".416",".344","119","-2.1","3.9","26","146","13","84","23","1","5","2",".791","13.8","11.0","-11.04","12.54","-0.32","526","1003041"
"1971","Jim Mason","Senators","3","10","0","0","0",".333",".400",".333",".344","118","0.0","0.0","20","3","0","1","0","0","0","0",".733","0.2","-1.0","","","","9","1008220"
"1979","Butch Hobson","Red Sox","146","570","28","93","3",".261",".298",".496",".344","102","-0.1","1.8","27","138","28","30","2","0","6","6",".794","1.2","-6.0","-10.51","10.11","-0.78","528","1005872"
"1961","Willie Kirkland","Indians","146","585","27","95","7",".259",".318",".474",".344","108","1.6","2.7","27","136","27","48","4","1","7","4",".793","6.2","8.0","","","","525","1006968"
"1986","Wally Backman","Mets","124","440","1","27","13",".320",".376",".385",".344","119","-0.3","3.1","26","124","1","36","1","0","3","14",".761","9.9","3.0","-6.48","7.67","0.62","387","1000400"
"1972","Terry Harmon","Phillies","73","251","2","13","3",".284",".372",".367",".344","113","0.0","1.5","28","62","2","29","0","2","1","1",".739","3.5","0.0","","","","218","1005373"
"1971","Ron Swoboda","- - -","93","259","2","26","0",".258",".381",".352",".344","118","-0.3","1.7","27","55","2","38","1","5","1","2",".733","5.0","5.0","","","","213","1012796"
"1977","Wayne Gross","Athletics","146","582","22","63","5",".233",".352",".416",".344","116","-0.2","2.1","25","113","22","86","6","5","3","3",".769","11.1","-14.0","-9.96","10.18","-1.92","485","1005091"
"1972","Dwight Evans","Red Sox","18","64","1","6","0",".263",".344",".404",".344","120","0.0","0.3","20","15","1","7","0","0","0","0",".747","1.3","0.0","","","","57","1003865"
"1978","Rodney Scott","Cubs","78","280","0","15","27",".282",".403",".313",".344","105","1.6","1.3","24","64","0","43","0","3","0","7",".716","1.5","-2.0","-5.19","6.43","0.69","227","1011693"
