TN,year,Win,Lose,Draw,WA,GB,AVG,PA,AB,Runs,Basehit,Double,Triple,HR,TB,RBI,SB,CS,SC,SF,BB,IB,HBP,K,GIDP,SLG,OBP,Eruns
HIR_CAR,2017,88,51,4,0.633,,0.273,5592,4872,736,1329,237,23,152,2068,705,112,40,116,44,511,4,49,1114,95,0.424,0.345,540
HAN_TIG,2017,78,61,4,0.561,10,0.249,5520,4807,589,1195,213,18,113,1783,559,70,29,113,26,531,10,43,1008,97,0.371,0.327,528
YOK_BAY,2017,73,65,5,0.529,14.5,0.252,5402,4872,597,1230,245,14,134,1905,571,39,18,84,22,378,6,46,1091,101,0.391,0.311,598
YOM_GIA,2017,72,68,3,0.514,16.5,0.249,5384,4775,536,1190,223,15,113,1782,519,56,22,87,27,452,15,43,1006,129,0.373,0.318,504
CHU_DRA,2017,59,79,5,0.428,28.5,0.247,5306,4794,487,1183,190,23,111,1752,451,77,41,115,21,320,4,56,1103,86,0.365,0.3,623
YAK_SWA,2017,45,96,2,0.319,44,0.234,5358,4728,473,1108,166,19,95,1597,449,50,26,109,20,454,5,44,1013,116,0.338,0.306,653
SOF_HAW,2017,94,49,0,0.657,,0.259,5382,4671,638,1208,202,32,164,1966,613,73,47,156,31,488,16,36,1019,78,0.421,0.331,483
SEI_LIO,2017,79,61,3,0.564,13.5,0.264,5445,4792,690,1264,236,28,153,2015,660,129,40,93,45,457,4,58,1029,95,0.42,0.332,560
RAK_EAG,2017,77,63,3,0.55,15.5,0.254,5452,4812,585,1221,214,18,135,1876,553,42,27,105,22,473,10,40,1018,107,0.39,0.324,528
ORI_BUF,2017,63,79,1,0.444,30.5,0.251,5411,4770,539,1197,190,23,127,1814,519,33,23,149,26,409,6,57,1032,105,0.38,0.316,598
NIP_FIG,2017,60,83,0,0.42,34,0.242,5385,4749,509,1147,189,18,108,1696,482,86,27,103,28,468,2,37,1122,95,0.357,0.313,596
LOT_MAR,2017,54,87,2,0.383,39,0.233,5286,4718,479,1098,215,29,95,1656,455,78,24,98,26,387,8,57,1099,85,0.351,0.297,647
HIR_CAR,2016,89,52,2,0.631,,0.272,5582,4914,684,1338,203,35,153,2070,649,118,52,91,29,500,13,47,1063,85,0.421,0.343,497
YOM_GIA,2016,71,69,3,0.507,17.5,0.251,5356,4797,519,1203,217,19,128,1842,497,62,26,112,23,389,11,35,961,100,0.384,0.331,543
YOK_BAY,2016,69,71,3,0.493,19.5,0.249,5364,4838,572,1205,194,21,140,1861,548,67,34,81,18,373,7,54,1049,92,0.385,0.309,588
HAN_TIG,2016,64,76,3,0.457,24.5,0.245,5401,4789,506,1171,204,17,90,1679,475,59,25,88,38,435,17,51,1149,99,0.351,0.312,546
YAK_SWA,2016,64,78,1,0.451,25.5,0.256,5509,4828,594,1234,210,20,113,1823,565,82,24,85,33,524,10,39,907,117,0.378,0.31,694
CHU_DRA,2016,58,82,3,0.414,30.5,0.245,5405,4813,500,1180,209,21,89,1698,473,60,28,108,28,410,7,46,1001,103,0.353,0.309,573
